hand,sample,simulation_time_s,tracking_time_s,loop_progress,desired_x_m,desired_y_m,desired_z_m,measured_x_m,measured_y_m,measured_z_m,error_x_m,error_y_m,error_z_m,error_norm_m
shadow_hand,2269,53.38000000001927,45.38000000001927,1.4444902635026557,0.39253369078880024,0.057554546080362964,-0.07847132143305678,0.3934771399722213,0.05789719551718395,-0.07890451066726574,0.0009434491834210412,0.0003426494368209826,-0.0004331892342089583,0.0010932327798260121
shadow_hand,2270,53.4000000000193,45.4000000000193,1.4451268832750241,0.3925268934065907,0.05753573663960132,-0.07847132143305678,0.3934724722036037,0.05787969333885902,-0.07890441927962827,0.0009455787970130136,0.0003439566992576998,-0.00043309784657148687,0.0010954447576348562
shadow_hand,2271,53.42000000001932,45.42000000001932,1.4457635030473923,0.3925201713163226,0.05751690015985867,-0.07847132143305678,0.3934654480880356,0.05786155890799667,-0.07890483866032072,0.0009452767717129662,0.0003446587481380006,-0.00043351722726393815,0.0010955706340271968
shadow_hand,2272,53.440000000019346,45.440000000019346,1.4464001228197607,0.3925135246255492,0.05749803694251828,-0.07847132143305678,0.3934583843766988,0.05784299113433427,-0.07890539085362733,0.0009448597511495516,0.0003449541918159882,-0.00043406942057054587,0.0010955225263171286
shadow_hand,2273,53.46000000001937,45.46000000001937,1.447036742592129,0.3925069534406174,0.057479147289391234,-0.07847132143305678,0.39345159806914887,0.05782439559234734,-0.07890600380318492,0.0009446446285314436,0.00034524830295610404,-0.00043468237012814215,0.0010956726827878835
shadow_hand,2274,53.480000000019395,45.480000000019395,1.4476733623644975,0.39250045786666604,0.05746023150271158,-0.07847132143305678,0.39344503711718376,0.05780598709001282,-0.07890654560868858,0.0009445792505177186,0.00034575558730123856,-0.0004352241756317987,0.0010959913182653493
shadow_hand,2275,53.50000000001942,45.50000000001942,1.448309982136866,0.3924940380076241,0.057441289885131495,-0.07847132143305678,0.39343855279027967,0.05778771395614042,-0.07890701248896966,0.0009445147826555589,0.00034642407100892586,-0.0004356910559128735,0.0010963322980883806
shadow_hand,2276,53.520000000019444,45.520000000019444,1.4489466019092343,0.3924876939662093,0.057422322739716466,-0.07847132143305678,0.39343210786945,0.057769478329949026,-0.07890742556509119,0.0009444139032406818,0.00034715559023255904,-0.0004361041320344039,0.001096640979738354
shadow_hand,2277,53.54000000001947,45.54000000001947,1.4495832216816025,0.3924814258439261,0.0574033303699404,-0.07847132143305678,0.39342570258848614,0.0577512198224689,-0.07890780560881956,0.0009442767445600464,0.00034788945252849784,-0.0004364841757627802,0.0010969065945598151
shadow_hand,2278,53.56000000001949,45.56000000001949,1.4502198414539709,0.39247523374106436,0.057384313079680824,-0.07847132143305678,0.39341933163174336,0.05773291440444616,-0.07890816838715284,0.0009440978906790076,0.0003486013247653366,-0.0004368469540960568,0.001097123043288993
